Name,Gender,Race,Level,HexID,ID,Server,Date First Logged,Date Modified
Blackmage,Male,Human,24972,6D99,28057,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Herro,Male,Human,29257,6E7E,28286,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Drizzit,Male,Human,31200,6F22,28450,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
ghostdragon,Male,Human,22168,70F9,28921,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
lazykooper,Male,Human,38630,7269,29289,Mari,2024-01-01 09:31:49.397812,2024-01-02 02:31:29.539932
Tbh,Female,Human,82724,7496,29846,Mari,2024-01-01 09:31:49.397812,2024-01-02 02:31:29.539932
Tarp+Mari,Female,Human,22994,771F,30495,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Necrojoker,Male,Human,66895,7b17,31511,Mari,2024-01-01 09:31:49.397812,2024-01-02 07:03:33.287510
float+Mari,Female,Human,674,7DEE,32238,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Lacosette,Male,Human,30873,855F,34143,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Ian,Male,Human,40000,8600,34304,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Squallion,Male,Human,893,8695,34453,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Ryoung,Male,Human,82691,92E2,37602,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
oumaru,Male,Human,26033,9382,37762,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Sped,Male,Human,54066,9427,37927,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Luckycat,Female,Human,34478,9433,37939,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Yumisifu,Male,Human,5967,94B8,38072,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
CCholy,Female,Human,48113,958D,38285,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Mrsirdavid,Male,Human,44888,98A8,39080,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Chrissyxp,Female,Human,12212,9C0F,39951,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Chrissyxd,Female,Human,27635,9C34,39988,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
alexthedemon,Male,Human,33357,9D5C,40284,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Yoasabi,Male,Human,63452,a0c6,41158,Mari,2024-01-01 09:31:49.397812,2024-01-02 07:03:33.287510
Kooh+Mari,Female,Human,8260,a3ab,41899,Mari,2024-01-01 09:31:49.397812,2024-01-02 08:13:46.465317
Thistle,Female,Human,28159,A6B4,42676,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Noka,Female,Human,18134,B15C,45404,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Sameth,Female,Human,12946,B8BF,47295,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Clifford,Male,Human,46063,BCBA,48314,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Pikku,Female,Human,23195,BE04,48644,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Khalis,Female,Human,51112,C269,49769,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Samo,Female,Human,9834,C68C,50828,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Jiuhin,Female,Human,79800,C8D2,51410,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Pajama,Female,Human,28799,D0B2,53426,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Eruruu1111,Female,Human,29592,D2B5,53941,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Fang,Female,Human,6471,DC9C,56476,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Mirror,Female,Human,2917,E0D8,57560,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Ryan,Male,Human,24853,E0F7,57591,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Server+Mari,Female,Human,13951,E67F,59007,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
BIumi,Female,Human,5088,E6A1,59041,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Lostpridez,Female,Human,37275,E925,59685,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Grimmiers,Male,Human,58357,E92D,59693,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Yuan257,Male,Human,38124,EBA4,60324,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Bleach100,Male,Human,21330,ED72,60786,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Lucario,Male,Human,46845,edb5,60853,Mari,2024-01-01 09:31:49.397812,2024-01-02 07:03:33.287510
mkiller,Male,Human,64502,F09C,61596,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Xennathos,Male,Human,25780,F343,62275,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Papaya,Male,Human,13152,F497,62615,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Quickfox,Female,Human,32727,F95F,63839,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Farore,Female,Human,68094,F9ED,63981,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
